,Open,High,Low,Close,Adj Close,Volume
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,151.23200000000003,152.47199999999998,149.80800000000002,151.262,151.262,3423004.8
std,1.1956253593831165,1.53748821133692,1.0833835885779295,1.1556470049284098,1.1556470049284098,1105499.3499327353
min,149.93,150.64,148.9,150.1,150.1,1516771.0
25%,150.47,151.22,148.99,150.3,150.3,3640328.0
50%,150.81,152.67,149.31,151.26,151.26,3660196.0
75%,152.18,153.51,150.43,151.69,151.69,3928009.0
max,152.77,154.32,151.41,152.96,152.96,4369720.0
